  
|| Exhibit No. Description  | Notes | Incorporated by Reference ||||  
| | .Form of Restricted Stock Award Agreement ; | 1 | 10-K | 10(h) | 3/1/05 | 1-6523 |  
| | .Form of Directors' Stock Plan Conditional Restricted Stock Award Agreement for Non-U.S. Director | 1 | 10-Q | 10(a) | 8/4/11 | 1-6523 |  
| (h) | Bank of America Corporation Key Associate Stock Plan, as amended and restated effective April 28, 2010 and the following forms | 1 | 8-K | 10.2 | 5/3/10 | 1-6523 |  
| | of award agreement under the plan: | | | | | |  
| | .Form of Stock Option Award Agreement for non-executives (February 2008 grant) | 1 | 10-K | 10(i) | 2/26/10 | 1-6523 |  
| | .Form of Restricted Stock Units Award Agreement (February 2013 and subsequent grants), including grants to named executive | 1 | 10-Q | 10(a) | 5/5/13 | 1-6523 |  
| | officers | | | | | |  
| | .Form of Performance Restricted Stock Units Award Agreement (February 2014 and subsequent grants), including grants to named executive officers | 1 | 10-Q | 10(a) | 5/1/14 | 1-6523 |  
| | Bank of America Corporation Key Employee Equity Plan (formerly known as the Key Associate Stock Plan), as amended and | 1 | 8-K | 10.2 | 5/7/15 | 1-6523 |  
| | restated effective May 6, 2015 | | | | | |  
| | .Form of Cash-settled Restricted Stock Units Award Agreement (February 2016 and subsequent grants) | 1 | 10-Q | 10(a) | 5/2/16 | 1-6523 |  
| | .Form of Time-based Restricted Stock Units Award Agreement (February 2016) | 1 | 10-Q | 10(b) | 5/2/16 | 1-6523 |  
| | .Form of Performance Restricted Stock Units Award Agreement (February 2016) | 1 | 10-Q | 10(c) | 5/2/16 | 1-6523 |  
| | .Form of Time-based Restricted Stock Units Award Agreement (February 2017 and subsequent grants) | 1 | 10-Q | 10(a) | 5/2/17 | 1-6523 |  
| | .Form of Performance Restricted Stock Units Award Agreement (February 2017) | 1 | 10-Q | 10(b) | 5/2/17 | 1-6523 |  
| | .Form of Performance Restricted Stock Units Award Agreement (February 2018) | 1 | 10-Q | 10 | 4/30/18 | 1-6523 |  
| | .Form of Restricted Stock Award Agreement for Non-Employee Directors | 1,2 | | | | |  
| (i) | Amendment to various plans in connection with FleetBoston Financial Corporation merger dated October 27, 2003 | 1 | 10-K | 10(v) | 3/1/04 | 1-6523 |  
| (i) | FleetBoston Supplemental Executive Retirement Plan effective December 31, 2004 | 1 | 10-K | 10(r) | 3/1/05 | 1-6523 |  
| (k) | FleetBoston Executive Deferred Compensation Plan No. 2 effective December 16, 2003 | 1 | 10-K | 10(u) | 3/1/05 | 1-6523 |  
| (1) | FleetBoston Executive Supplemental Plan effective December 31, 2004 | 1 | 10-K | 10(v) | 3/1/05 | 1-6523 |  
| (m) | Retirement Income Assurance Plan for Legacy Fleet, as amended and restated effective January 1, 2009 | 1 | 10-K | 10(p) | 2/26/10 | 1-6523 |  
  
Bank of America 2018 174  
